Módulo,Operação,Tarefa,ID (mapeamento),Projeto,ID_US,DESC_US,ID_Task,DESC_Task,Tipo,Mapeado? (SIM ou NAO),Origem
X,X,X,1,SMON,756,Bug Fixing,1986,Bug Fixing,Tecnica,Nao,Virtus
X,X,X,2,SMON,756,Bug Fixing,1987,Bug Fixing,Tecnica,Nao,Virtus
X,X,X,3,SMON,756,Bug Fixing,1988,Bug Fixing,Tecnica,Nao,Virtus
X,X,X,4,SMON,756,Bug Fixing,1989,Bug Fixing,Tecnica,Nao,Virtus
X,X,X,5,SMON,756,Bug Fixing,1990,Bug Fixing,Tecnica,Nao,Virtus
X,X,X,6,SMON,757,Bug Fixing,1954,Bug Fixing,Tecnica,Nao,Virtus
X,X,X,7,SMON,757,Bug Fixing,1955,Bug Fixing,Tecnica,Nao,Virtus
X,X,X,8,SMON,757,Bug Fixing,1956,Bug Fixing,Tecnica,Nao,Virtus
X,X,X,9,SMON,757,Bug Fixing,1957,Bug Fixing,Tecnica,Nao,Virtus
Autenticação,Acessar_pela_primeira_vez_o_sistema,,10,Gestão da Capacitação,US01,Como administrador desejo fazer login para ter o primeiro acesso ao sistema sistema,,,Negocio,Sim,Capacitação
Autenticação,Atualizar_perfil,,11,Gestão da Capacitação,US02,Como administrador desejo alterar minha senha para atualizá-la quando necessário,,,Negocio,Sim,Capacitação
Autenticação,Recuperar_senha,,12,Gestão da Capacitação,US03,Como administrador desejo recuperar minha senha	para ter acesso ao sistema novamente,,,Negocio,Sim,Capacitação
Cadastro,Inserir_dados,,13,Gestão da Capacitação,US04,Como administrador desejo criar um contrato para associar às contas criadas,,,Negocio,Sim,Capacitação
Autenticação,Criar_conta,,14,Gestão da Capacitação,US05,Como administrador desejo criar conta de gestor para que o gestor tenha acesso ao sistema,,,Negocio,Sim,Capacitação
Autenticação,Remover_conta,,15,Gestão da Capacitação,US06,Como administrador desejo excluir conta de gestor para remover o gestor do sistema,,,Negocio,Sim,Capacitação
Cadastro,Recuperação_de_dados,,16,Gestão da Capacitação,US08,Como administrador desejo ordenar a lista de gestores cadastrados para facilitar a visualização das suas informações,,,Negocio,Sim,Capacitação
Autenticação,Fazer_login_com_usuário_e_senha,,17,Gestão da Capacitação,US09,Como administrador desejo fazer logout do sistema	para sair o sistema,,,Negocio,Sim,Capacitação
Autenticação,Criar_conta,,18,Gestão da Capacitação,US10,Como administrador desejo criar conta de coach para que o coach tenha acesso ao sistema.,,,Negocio,Sim,Capacitação
Cadastro,Recuperação_de_dados,,19,Gestão da Capacitação,US13,Como administrador desejo ordenar a lista de coaches cadastrados	para facilitar a visualização das suas informações,,,Negocio,Sim,Capacitação
Autenticação,Criar_conta,,20,Gestão da Capacitação,US14,Como administrador desejo criar conta de aluno para que o aluni tenha acesso ao sistema,,,Negocio,Sim,Capacitação
Autenticação,Remover_conta,,21,Gestão da Capacitação,US15,Como administrador desejo excluir conta de aluno para remover o aluno do sistema,,,Negocio,Sim,Capacitação
Cadastro,Recuperação_de_dados,,22,Gestão da Capacitação,US16,Como administrador desejo expandir as informações de um aluno cadastrado para ter acesso a mais informações de seu perfil,,,Negocio,Sim,Capacitação
Cadastro,Atualizar_dados,,23,Gestão da Capacitação,US18,Como coach desejo selecionar alunos para criar minha equipe,,,Negocio,Sim,Capacitação
Autenticação,Atualizar_perfil,,24,Gestão da Capacitação,US19,Como aluno	desejo atualizar meus dados para completar as informações do meu perfil,,,Negocio,Sim,Capacitação
Cadastro,Inserir_dados,,25,Gestão da Capacitação,US20,Como aluno	desejo cadastrar meus horários para que o coach responsável esteja ciente da minha carga horária,,,Negocio,Sim,Capacitação
Cadastro,Recuperação_de_dados,,26,Gestão da Capacitação,US21,Como coach	desejo visualizar os horários da minha equipe para saber quando os alunos estarão no laboratório,,,Negocio,Sim,Capacitação
Cadastro,Inserir_dados,,27,Gestão da Capacitação,US22,Como aluno desejo registrar minha atividade da semana para que o meu coach possa fazer o acompanhamento,,,Negocio,Sim,Capacitação
Cadastro,Atualizar_dados,,28,Gestão da Capacitação,US23,Como coach	desejo revisar ou validar as atividades semanais do alunos da minha equipe para monito3rar as atividades realizadas,,,Negocio,Sim,Capacitação
Cadastro,Recuperação_de_dados,,29,Gestão da Capacitação,US24,Como gestor	desejo visualizar os relatórios semanais que foram validados pelos coaches	para ficar 4a par do andamento dos projetos,,,Negocio,Sim,Capacitação
Cadastro,Atualizar_dados,,30,Gestão da Capacitação,US25,Como coach	desejo desalocar alunos da minha equipe que os alunos possam ser alocados em outra equipe,,,Negocio,Sim,Capacitação
Cadastro,Recuperação_de_dados,,31,Gestão da Capacitação,US26,Como administrador desejo realizar buscas para ter acesso as suas informações deu um indivíduo específico,,,Negocio,Sim,Capacitação
Cadastro,Recuperação_de_dados,,32,Gestão da Capacitação,US27,Como gestor	desejo realizar buscas	para ter acesso as suas informações deu um indivíduo específico,,,Negocio,Sim,Capacitação
Cadastro,Recuperação_de_dados,,33,Gestão da Capacitação,US28,Como coach	desejo realizar buscas	para ter acesso as suas informações deu um indivíduo específico,,,Negocio,Sim,Capacitação
Cadastro,Recuperação_de_dados,,34,Gestão da Capacitação,US29,Como gestor desejo visualizar os horários dos alunos no laboratório por contrato para exibir os horários de determinado aluno por contrato,,,Negocio,Sim,Capacitação
